hostname,environment,os,platform,vm_id,ip_address,subnet,datacenter,cluster_name,role,app_name,owner,criticality,cpu_cores,memory_gb,storage_gb,is_virtual,is_cloud,tags
server0050,qa,Ubuntu,vmware,vm-1050,10.0.50.10,10.0.50.0/24,DC3,Cluster3,app,App1,user11,high,3,6,550,true,false,env:qa;role:app;dc:DC3
server0051,stage,SLES,vmware,vm-1051,10.0.51.11,10.0.51.0/24,DC1,Cluster4,db,App2,user12,critical,4,8,600,true,false,env:stage;role:db;dc:DC1
server0052,prod,Windows,vmware,vm-1052,10.0.52.12,10.0.52.0/24,DC2,Cluster1,web,App3,user13,low,5,10,650,true,false,env:prod;role:web;dc:DC2
server0053,dev,RHEL,vmware,vm-1053,10.0.53.13,10.0.53.0/24,DC3,Cluster2,batch,App4,user14,medium,6,12,700,true,false,env:dev;role:batch;dc:DC3
server0054,qa,Ubuntu,vmware,vm-1054,10.0.54.14,10.0.54.0/24,DC1,Cluster3,file,App5,user15,high,7,14,750,true,false,env:qa;role:file;dc:DC1
server0055,stage,SLES,vmware,vm-1055,10.0.55.15,10.0.55.0/24,DC2,Cluster4,app,App6,user16,critical,8,16,800,true,false,env:stage;role:app;dc:DC2
server0056,prod,Windows,vmware,vm-1056,10.0.56.16,10.0.56.0/24,DC3,Cluster1,db,App7,user17,low,1,18,850,true,false,env:prod;role:db;dc:DC3
server0057,dev,RHEL,vmware,vm-1057,10.0.57.17,10.0.57.0/24,DC1,Cluster2,web,App8,user18,medium,2,20,900,true,false,env:dev;role:web;dc:DC1
server0058,qa,Ubuntu,vmware,vm-1058,10.0.58.18,10.0.58.0/24,DC2,Cluster3,batch,App9,user19,high,3,22,950,true,false,env:qa;role:batch;dc:DC2
server0059,stage,SLES,vmware,vm-1059,10.0.59.19,10.0.59.0/24,DC3,Cluster4,file,App10,user20,critical,4,24,1000,true,false,env:stage;role:file;dc:DC3
server0060,prod,Windows,vmware,vm-1060,10.0.60.10,10.0.60.0/24,DC1,Cluster1,app,App11,user1,low,5,26,50,true,false,env:prod;role:app;dc:DC1
server0061,dev,RHEL,vmware,vm-1061,10.0.61.11,10.0.61.0/24,DC2,Cluster2,db,App12,user2,medium,6,28,100,true,false,env:dev;role:db;dc:DC2
server0062,qa,Ubuntu,vmware,vm-1062,10.0.62.12,10.0.62.0/24,DC3,Cluster3,web,App13,user3,high,7,30,150,true,false,env:qa;role:web;dc:DC3
server0063,stage,SLES,vmware,vm-1063,10.0.63.13,10.0.63.0/24,DC1,Cluster4,batch,App14,user4,critical,8,32,200,true,false,env:stage;role:batch;dc:DC1
server0064,prod,Windows,vmware,vm-1064,10.0.64.14,10.0.64.0/24,DC2,Cluster1,file,App15,user5,low,1,2,250,true,false,env:prod;role:file;dc:DC2
server0065,dev,RHEL,vmware,vm-1065,10.0.65.15,10.0.65.0/24,DC3,Cluster2,app,App16,user6,medium,2,4,300,true,false,env:dev;role:app;dc:DC3
server0066,qa,Ubuntu,vmware,vm-1066,10.0.66.16,10.0.66.0/24,DC1,Cluster3,db,App17,user7,high,3,6,350,true,false,env:qa;role:db;dc:DC1
server0067,stage,SLES,vmware,vm-1067,10.0.67.17,10.0.67.0/24,DC2,Cluster4,web,App18,user8,critical,4,8,400,true,false,env:stage;role:web;dc:DC2
server0068,prod,Windows,vmware,vm-1068,10.0.68.18,10.0.68.0/24,DC3,Cluster1,batch,App19,user9,low,5,10,450,true,false,env:prod;role:batch;dc:DC3
server0069,dev,RHEL,vmware,vm-1069,10.0.69.19,10.0.69.0/24,DC1,Cluster2,file,App20,user10,medium,6,12,500,true,false,env:dev;role:file;dc:DC1
server0070,qa,Ubuntu,vmware,vm-1070,10.0.70.10,10.0.70.0/24,DC2,Cluster3,app,App21,user11,high,7,14,550,true,false,env:qa;role:app;dc:DC2
server0071,stage,SLES,vmware,vm-1071,10.0.71.11,10.0.71.0/24,DC3,Cluster4,db,App22,user12,critical,8,16,600,true,false,env:stage;role:db;dc:DC3
server0072,prod,Windows,vmware,vm-1072,10.0.72.12,10.0.72.0/24,DC1,Cluster1,web,App23,user13,low,1,18,650,true,false,env:prod;role:web;dc:DC1
server0073,dev,RHEL,vmware,vm-1073,10.0.73.13,10.0.73.0/24,DC2,Cluster2,batch,App24,user14,medium,2,20,700,true,false,env:dev;role:batch;dc:DC2
server0074,qa,Ubuntu,vmware,vm-1074,10.0.74.14,10.0.74.0/24,DC3,Cluster3,file,App25,user15,high,3,22,750,true,false,env:qa;role:file;dc:DC3
server0075,stage,SLES,vmware,vm-1075,10.0.75.15,10.0.75.0/24,DC1,Cluster4,app,App26,user16,critical,4,24,800,true,false,env:stage;role:app;dc:DC1
server0076,prod,Windows,vmware,vm-1076,10.0.76.16,10.0.76.0/24,DC2,Cluster1,db,App27,user17,low,5,26,850,true,false,env:prod;role:db;dc:DC2
server0077,dev,RHEL,vmware,vm-1077,10.0.77.17,10.0.77.0/24,DC3,Cluster2,web,App28,user18,medium,6,28,900,true,false,env:dev;role:web;dc:DC3
server0078,qa,Ubuntu,vmware,vm-1078,10.0.78.18,10.0.78.0/24,DC1,Cluster3,batch,App29,user19,high,7,30,950,true,false,env:qa;role:batch;dc:DC1
server0079,stage,SLES,vmware,vm-1079,10.0.79.19,10.0.79.0/24,DC2,Cluster4,file,App30,user20,critical,8,32,1000,true,false,env:stage;role:file;dc:DC2
server0080,prod,Windows,vmware,vm-1080,10.0.80.10,10.0.80.0/24,DC3,Cluster1,app,App31,user1,low,1,2,50,true,false,env:prod;role:app;dc:DC3
server0081,dev,RHEL,vmware,vm-1081,10.0.81.11,10.0.81.0/24,DC1,Cluster2,db,App32,user2,medium,2,4,100,true,false,env:dev;role:db;dc:DC1
server0082,qa,Ubuntu,vmware,vm-1082,10.0.82.12,10.0.82.0/24,DC2,Cluster3,web,App33,user3,high,3,6,150,true,false,env:qa;role:web;dc:DC2
server0083,stage,SLES,vmware,vm-1083,10.0.83.13,10.0.83.0/24,DC3,Cluster4,batch,App34,user4,critical,4,8,200,true,false,env:stage;role:batch;dc:DC3
server0084,prod,Windows,vmware,vm-1084,10.0.84.14,10.0.84.0/24,DC1,Cluster1,file,App35,user5,low,5,10,250,true,false,env:prod;role:file;dc:DC1
server0085,dev,RHEL,vmware,vm-1085,10.0.85.15,10.0.85.0/24,DC2,Cluster2,app,App36,user6,medium,6,12,300,true,false,env:dev;role:app;dc:DC2
server0086,qa,Ubuntu,vmware,vm-1086,10.0.86.16,10.0.86.0/24,DC3,Cluster3,db,App37,user7,high,7,14,350,true,false,env:qa;role:db;dc:DC3
server0087,stage,SLES,vmware,vm-1087,10.0.87.17,10.0.87.0/24,DC1,Cluster4,web,App38,user8,critical,8,16,400,true,false,env:stage;role:web;dc:DC1
server0088,prod,Windows,vmware,vm-1088,10.0.88.18,10.0.88.0/24,DC2,Cluster1,batch,App39,user9,low,1,18,450,true,false,env:prod;role:batch;dc:DC2
server0089,dev,RHEL,vmware,vm-1089,10.0.89.19,10.0.89.0/24,DC3,Cluster2,file,App40,user10,medium,2,20,500,true,false,env:dev;role:file;dc:DC3
server0090,qa,Ubuntu,vmware,vm-1090,10.0.90.10,10.0.90.0/24,DC1,Cluster3,app,App41,user11,high,3,22,550,true,false,env:qa;role:app;dc:DC1
server0091,stage,SLES,vmware,vm-1091,10.0.91.11,10.0.91.0/24,DC2,Cluster4,db,App42,user12,critical,4,24,600,true,false,env:stage;role:db;dc:DC2
server0092,prod,Windows,vmware,vm-1092,10.0.92.12,10.0.92.0/24,DC3,Cluster1,web,App43,user13,low,5,26,650,true,false,env:prod;role:web;dc:DC3
server0093,dev,RHEL,vmware,vm-1093,10.0.93.13,10.0.93.0/24,DC1,Cluster2,batch,App44,user14,medium,6,28,700,true,false,env:dev;role:batch;dc:DC1
server0094,qa,Ubuntu,vmware,vm-1094,10.0.94.14,10.0.94.0/24,DC2,Cluster3,file,App45,user15,high,7,30,750,true,false,env:qa;role:file;dc:DC2
server0095,stage,SLES,vmware,vm-1095,10.0.95.15,10.0.95.0/24,DC3,Cluster4,app,App46,user16,critical,8,32,800,true,false,env:stage;role:app;dc:DC3
server0096,prod,Windows,vmware,vm-1096,10.0.96.16,10.0.96.0/24,DC1,Cluster1,db,App47,user17,low,1,2,850,true,false,env:prod;role:db;dc:DC1
server0097,dev,RHEL,vmware,vm-1097,10.0.97.17,10.0.97.0/24,DC2,Cluster2,web,App48,user18,medium,2,4,900,true,false,env:dev;role:web;dc:DC2
server0098,qa,Ubuntu,vmware,vm-1098,10.0.98.18,10.0.98.0/24,DC3,Cluster3,batch,App49,user19,high,3,6,950,true,false,env:qa;role:batch;dc:DC3
server0099,stage,SLES,vmware,vm-1099,10.0.99.19,10.0.99.0/24,DC1,Cluster4,file,App50,user20,critical,4,8,1000,true,false,env:stage;role:file;dc:DC1
server0100,prod,Windows,vmware,vm-1100,10.0.100.10,10.0.100.0/24,DC2,Cluster1,app,App1,user1,low,5,10,50,true,false,env:prod;role:app;dc:DC2
server0101,dev,RHEL,vmware,vm-1101,10.0.101.11,10.0.101.0/24,DC3,Cluster2,db,App2,user2,medium,6,12,100,true,false,env:dev;role:db;dc:DC3
server0102,qa,Ubuntu,vmware,vm-1102,10.0.102.12,10.0.102.0/24,DC1,Cluster3,web,App3,user3,high,7,14,150,true,false,env:qa;role:web;dc:DC1
server0103,stage,SLES,vmware,vm-1103,10.0.103.13,10.0.103.0/24,DC2,Cluster4,batch,App4,user4,critical,8,16,200,true,false,env:stage;role:batch;dc:DC2
server0104,prod,Windows,vmware,vm-1104,10.0.104.14,10.0.104.0/24,DC3,Cluster1,file,App5,user5,low,1,18,250,true,false,env:prod;role:file;dc:DC3
server0105,dev,RHEL,vmware,vm-1105,10.0.105.15,10.0.105.0/24,DC1,Cluster2,app,App6,user6,medium,2,20,300,true,false,env:dev;role:app;dc:DC1
server0106,qa,Ubuntu,vmware,vm-1106,10.0.106.16,10.0.106.0/24,DC2,Cluster3,db,App7,user7,high,3,22,350,true,false,env:qa;role:db;dc:DC2
server0107,stage,SLES,vmware,vm-1107,10.0.107.17,10.0.107.0/24,DC3,Cluster4,web,App8,user8,critical,4,24,400,true,false,env:stage;role:web;dc:DC3
server0108,prod,Windows,vmware,vm-1108,10.0.108.18,10.0.108.0/24,DC1,Cluster1,batch,App9,user9,low,5,26,450,true,false,env:prod;role:batch;dc:DC1
server0109,dev,RHEL,vmware,vm-1109,10.0.109.19,10.0.109.0/24,DC2,Cluster2,file,App10,user10,medium,6,28,500,true,false,env:dev;role:file;dc:DC2
server0110,qa,Ubuntu,vmware,vm-1110,10.0.110.10,10.0.110.0/24,DC3,Cluster3,app,App11,user11,high,7,30,550,true,false,env:qa;role:app;dc:DC3
server0111,stage,SLES,vmware,vm-1111,10.0.111.11,10.0.111.0/24,DC1,Cluster4,db,App12,user12,critical,8,32,600,true,false,env:stage;role:db;dc:DC1
server0112,prod,Windows,vmware,vm-1112,10.0.112.12,10.0.112.0/24,DC2,Cluster1,web,App13,user13,low,1,2,650,true,false,env:prod;role:web;dc:DC2
server0113,dev,RHEL,vmware,vm-1113,10.0.113.13,10.0.113.0/24,DC3,Cluster2,batch,App14,user14,medium,2,4,700,true,false,env:dev;role:batch;dc:DC3
server0114,qa,Ubuntu,vmware,vm-1114,10.0.114.14,10.0.114.0/24,DC1,Cluster3,file,App15,user15,high,3,6,750,true,false,env:qa;role:file;dc:DC1
server0115,stage,SLES,vmware,vm-1115,10.0.115.15,10.0.115.0/24,DC2,Cluster4,app,App16,user16,critical,4,8,800,true,false,env:stage;role:app;dc:DC2
server0116,prod,Windows,vmware,vm-1116,10.0.116.16,10.0.116.0/24,DC3,Cluster1,db,App17,user17,low,5,10,850,true,false,env:prod;role:db;dc:DC3
server0117,dev,RHEL,vmware,vm-1117,10.0.117.17,10.0.117.0/24,DC1,Cluster2,web,App18,user18,medium,6,12,900,true,false,env:dev;role:web;dc:DC1
server0118,qa,Ubuntu,vmware,vm-1118,10.0.118.18,10.0.118.0/24,DC2,Cluster3,batch,App19,user19,high,7,14,950,true,false,env:qa;role:batch;dc:DC2
server0119,stage,SLES,vmware,vm-1119,10.0.119.19,10.0.119.0/24,DC3,Cluster4,file,App20,user20,critical,8,16,1000,true,false,env:stage;role:file;dc:DC3
server0120,prod,Windows,vmware,vm-1120,10.0.120.10,10.0.120.0/24,DC1,Cluster1,app,App21,user1,low,1,18,50,true,false,env:prod;role:app;dc:DC1
server0121,dev,RHEL,vmware,vm-1121,10.0.121.11,10.0.121.0/24,DC2,Cluster2,db,App22,user2,medium,2,20,100,true,false,env:dev;role:db;dc:DC2
server0122,qa,Ubuntu,vmware,vm-1122,10.0.122.12,10.0.122.0/24,DC3,Cluster3,web,App23,user3,high,3,22,150,true,false,env:qa;role:web;dc:DC3
server0123,stage,SLES,vmware,vm-1123,10.0.123.13,10.0.123.0/24,DC1,Cluster4,batch,App24,user4,critical,4,24,200,true,false,env:stage;role:batch;dc:DC1
server0124,prod,Windows,vmware,vm-1124,10.0.124.14,10.0.124.0/24,DC2,Cluster1,file,App25,user5,low,5,26,250,true,false,env:prod;role:file;dc:DC2
server0125,dev,RHEL,vmware,vm-1125,10.0.125.15,10.0.125.0/24,DC3,Cluster2,app,App26,user6,medium,6,28,300,true,false,env:dev;role:app;dc:DC3
server0126,qa,Ubuntu,vmware,vm-1126,10.0.126.16,10.0.126.0/24,DC1,Cluster3,db,App27,user7,high,7,30,350,true,false,env:qa;role:db;dc:DC1
server0127,stage,SLES,vmware,vm-1127,10.0.127.17,10.0.127.0/24,DC2,Cluster4,web,App28,user8,critical,8,32,400,true,false,env:stage;role:web;dc:DC2
server0128,prod,Windows,vmware,vm-1128,10.0.128.18,10.0.128.0/24,DC3,Cluster1,batch,App29,user9,low,1,2,450,true,false,env:prod;role:batch;dc:DC3
server0129,dev,RHEL,vmware,vm-1129,10.0.129.19,10.0.129.0/24,DC1,Cluster2,file,App30,user10,medium,2,4,500,true,false,env:dev;role:file;dc:DC1
server0130,qa,Ubuntu,vmware,vm-1130,10.0.130.10,10.0.130.0/24,DC2,Cluster3,app,App31,user11,high,3,6,550,true,false,env:qa;role:app;dc:DC2
server0131,stage,SLES,vmware,vm-1131,10.0.131.11,10.0.131.0/24,DC3,Cluster4,db,App32,user12,critical,4,8,600,true,false,env:stage;role:db;dc:DC3
server0132,prod,Windows,vmware,vm-1132,10.0.132.12,10.0.132.0/24,DC1,Cluster1,web,App33,user13,low,5,10,650,true,false,env:prod;role:web;dc:DC1
server0133,dev,RHEL,vmware,vm-1133,10.0.133.13,10.0.133.0/24,DC2,Cluster2,batch,App34,user14,medium,6,12,700,true,false,env:dev;role:batch;dc:DC2
server0134,qa,Ubuntu,vmware,vm-1134,10.0.134.14,10.0.134.0/24,DC3,Cluster3,file,App35,user15,high,7,14,750,true,false,env:qa;role:file;dc:DC3
server0135,stage,SLES,vmware,vm-1135,10.0.135.15,10.0.135.0/24,DC1,Cluster4,app,App36,user16,critical,8,16,800,true,false,env:stage;role:app;dc:DC1
server0136,prod,Windows,vmware,vm-1136,10.0.136.16,10.0.136.0/24,DC2,Cluster1,db,App37,user17,low,1,18,850,true,false,env:prod;role:db;dc:DC2
server0137,dev,RHEL,vmware,vm-1137,10.0.137.17,10.0.137.0/24,DC3,Cluster2,web,App38,user18,medium,2,20,900,true,false,env:dev;role:web;dc:DC3
server0138,qa,Ubuntu,vmware,vm-1138,10.0.138.18,10.0.138.0/24,DC1,Cluster3,batch,App39,user19,high,3,22,950,true,false,env:qa;role:batch;dc:DC1
server0139,stage,SLES,vmware,vm-1139,10.0.139.19,10.0.139.0/24,DC2,Cluster4,file,App40,user20,critical,4,24,1000,true,false,env:stage;role:file;dc:DC2
server0140,prod,Windows,vmware,vm-1140,10.0.140.10,10.0.140.0/24,DC3,Cluster1,app,App41,user1,low,5,26,50,true,false,env:prod;role:app;dc:DC3
server0141,dev,RHEL,vmware,vm-1141,10.0.141.11,10.0.141.0/24,DC1,Cluster2,db,App42,user2,medium,6,28,100,true,false,env:dev;role:db;dc:DC1
server0142,qa,Ubuntu,vmware,vm-1142,10.0.142.12,10.0.142.0/24,DC2,Cluster3,web,App43,user3,high,7,30,150,true,false,env:qa;role:web;dc:DC2
server0143,stage,SLES,vmware,vm-1143,10.0.143.13,10.0.143.0/24,DC3,Cluster4,batch,App44,user4,critical,8,32,200,true,false,env:stage;role:batch;dc:DC3
server0144,prod,Windows,vmware,vm-1144,10.0.144.14,10.0.144.0/24,DC1,Cluster1,file,App45,user5,low,1,2,250,true,false,env:prod;role:file;dc:DC1
server0145,dev,RHEL,vmware,vm-1145,10.0.145.15,10.0.145.0/24,DC2,Cluster2,app,App46,user6,medium,2,4,300,true,false,env:dev;role:app;dc:DC2
server0146,qa,Ubuntu,vmware,vm-1146,10.0.146.16,10.0.146.0/24,DC3,Cluster3,db,App47,user7,high,3,6,350,true,false,env:qa;role:db;dc:DC3
server0147,stage,SLES,vmware,vm-1147,10.0.147.17,10.0.147.0/24,DC1,Cluster4,web,App48,user8,critical,4,8,400,true,false,env:stage;role:web;dc:DC1
server0148,prod,Windows,vmware,vm-1148,10.0.148.18,10.0.148.0/24,DC2,Cluster1,batch,App49,user9,low,5,10,450,true,false,env:prod;role:batch;dc:DC2
server0149,dev,RHEL,vmware,vm-1149,10.0.149.19,10.0.149.0/24,DC3,Cluster2,file,App50,user10,medium,6,12,500,true,false,env:dev;role:file;dc:DC3
server0150,qa,Ubuntu,vmware,vm-1150,10.0.150.10,10.0.150.0/24,DC1,Cluster3,app,App1,user11,high,7,14,550,true,false,env:qa;role:app;dc:DC1
server0151,stage,SLES,vmware,vm-1151,10.0.151.11,10.0.151.0/24,DC2,Cluster4,db,App2,user12,critical,8,16,600,true,false,env:stage;role:db;dc:DC2
server0152,prod,Windows,vmware,vm-1152,10.0.152.12,10.0.152.0/24,DC3,Cluster1,web,App3,user13,low,1,18,650,true,false,env:prod;role:web;dc:DC3
server0153,dev,RHEL,vmware,vm-1153,10.0.153.13,10.0.153.0/24,DC1,Cluster2,batch,App4,user14,medium,2,20,700,true,false,env:dev;role:batch;dc:DC1
server0154,qa,Ubuntu,vmware,vm-1154,10.0.154.14,10.0.154.0/24,DC2,Cluster3,file,App5,user15,high,3,22,750,true,false,env:qa;role:file;dc:DC2
server0155,stage,SLES,vmware,vm-1155,10.0.155.15,10.0.155.0/24,DC3,Cluster4,app,App6,user16,critical,4,24,800,true,false,env:stage;role:app;dc:DC3
server0156,prod,Windows,vmware,vm-1156,10.0.156.16,10.0.156.0/24,DC1,Cluster1,db,App7,user17,low,5,26,850,true,false,env:prod;role:db;dc:DC1
server0157,dev,RHEL,vmware,vm-1157,10.0.157.17,10.0.157.0/24,DC2,Cluster2,web,App8,user18,medium,6,28,900,true,false,env:dev;role:web;dc:DC2
server0158,qa,Ubuntu,vmware,vm-1158,10.0.158.18,10.0.158.0/24,DC3,Cluster3,batch,App9,user19,high,7,30,950,true,false,env:qa;role:batch;dc:DC3
server0159,stage,SLES,vmware,vm-1159,10.0.159.19,10.0.159.0/24,DC1,Cluster4,file,App10,user20,critical,8,32,1000,true,false,env:stage;role:file;dc:DC1
